SCC,SC,Total,Pro1-1,Pro1-2,Pro1-3,Pro2,Pro3
820106,ZOUshQJWAq,159,4,,3,8,
820107,JlJwFyNHwg,133,4,3,3,3,
820108,fNMsuOPlnQ,192,14,19,15,25,1
820109,SNYmwnUTvS,125,5,4,3,4,
820110,JddtFiffPa,64,1,,6,9,1
820111,tyARkxIRVb,69,5,15,4,22,3
820112,GJrsqSWxiE,59,2,4,3,9,
820113,NgIsfGVWdx,222,18,12,6,25,1
820114,bdCDBoLQLe,31,4,5,4,11,
820116,QycTxlZFEM,100,14,13,17,35,5
820117,MHzRNaKuoM,55,1,1,7,17,
820118,UQARogWwhX,155,13,11,14,30,10
820119,aApSJuDNqV,108,12,6,9,20,2
820120,YNkShhjeFs,121,16,25,19,41,8
820121,VOgclwnHbd,121,10,7,15,34,1
820122,CjxhdjcvmD,21,,,2,8,
820123,fmDSVranOp,72,9,7,9,13,6
820124,MjToTsETiK,18,2,,3,3,
820125,QQfbFLPZln,74,3,3,2,9,
820127,fxqeLCcNrK,54,1,,3,8,2
820129,NcYmkoLxTf,17,2,2,,2,
820131,zVnFRkpKtN,56,7,3,11,23,3
820132,eMDsCoQMpF,182,6,18,13,43,6
820134,XGjNCNCNvn,54,17,9,10,8,3
820136,hHpCHAlCAb,59,2,3,4,8,3
820137,ijAcdUDxdr,127,4,1,4,6,
820138,eEwztGUGJl,132,6,6,1,3,
820139,IZClfdNyZr,84,3,9,2,31,2
820140,WMuLSZDfYr,96,22,12,10,53,4
820141,XdlAZQqMPy,84,1,2,2,6,
820142,yFgGjUIdBY,53,2,1,1,5,2
820143,zvAvZphPPJ,193,24,9,17,13,3
820144,pExvTgoXJY,208,45,39,46,115,12
820146,jFFtEbpgPw,113,3,6,2,27,
820147,tgpKDWUsQE,90,7,4,9,34,
820148,WkwxihsKBS,118,7,10,12,26,1
820149,JvhYYgfqFE,129,,,,,
820150,EwbkDvupZQ,111,6,6,8,31,2
820151,dBBEhvrFrK,104,7,7,13,41,1
820152,YggFvzgGQG,134,21,19,16,25,4
820153,nhaMBtXFqd,122,7,12,16,24,4
820154,aueocandbX,291,23,22,18,35,11
820155,WVWEalRKib,141,5,6,4,7,
820156,QWdeeMVxer,137,9,2,3,11,2
820157,AWNYqAcFbv,23,1,,,,
820158,gKVdjIGRJW,155,13,7,9,24,1
820159,sdmJbpltTK,41,3,2,,1,
820161,oQCIeFNQaI,71,23,18,26,39,11
820163,JlHfySvJMv,250,39,27,22,48,8
820165,FWUlLQSUni,126,28,21,22,30,5
820168,MfRGAarfuA,11,,,,,
820169,rABEazPUPC,18,,,,1,
820170,KQYgYzmZwc,67,9,10,7,12,1
820171,YOPgQhwGGe,13,1,,2,1,
820172,xwVtzZQaRy,78,10,6,5,17,3
820173,rqmCfEhrGV,53,3,3,3,9,1
820174,LFBBRMKxcs,133,8,13,4,26,
820175,mAnCSgkjnr,152,12,11,5,22,1
820176,xpAvJZhIAy,184,13,14,9,10,2
820177,uwanKHbbjM,36,3,6,1,11,
820178,HAIwMDIUTY,106,5,9,6,2,
820179,uTdbqweOZi,109,8,7,5,18,2
820180,PzfDTIZTPl,106,2,3,1,15,
820181,HtiSOMTyHZ,44,3,2,,4,
820182,SIgSpjVkFt,57,1,1,,1,
820183,rvRyFSnaPm,42,3,3,3,15,2
820184,sXcHSCWWFT,57,5,3,2,4,
820186,CBxLATpRnA,102,15,2,3,31,1
820187,jhfgDgBGZm,151,22,10,13,5,1
820188,fWySqJSzJG,141,9,9,10,4,
820189,PWVviijzqE,203,22,16,16,43,4
820190,HljLWbnjCt,195,12,12,12,20,5
820191,NeORAcpVmM,121,18,3,4,30,
820192,bhiEqgfRwl,108,20,11,8,11,1
820193,PgMYNhKzpA,204,17,10,12,27,4
820194,MgGDxydFsf,172,11,14,18,31,2
820195,YEZxtXAaDJ,70,3,2,2,2,2
820196,CxJwaNorqf,127,2,6,3,15,1
820197,TMfwJzUAGZ,55,2,2,1,1,
820198,IVEsyDtueI,149,6,6,7,28,2
820199,cMPwvKoMoo,67,8,4,3,4,
820200,JkOQAoHbMt,50,1,2,2,,1
820201,ApcLFZNdmL,144,9,16,11,32,3
820202,PJlGJiTtgx,73,4,4,8,14,1
820203,OTivSJpKNf,97,14,2,15,15,
820204,WLVQgMYYly,59,4,2,3,4,1
820205,wJobBpGhFz,162,2,,,4,
820206,vejlBskpKk,94,5,3,6,1,
820207,lLAMbBMgSE,176,3,6,7,13,
820208,nuWReItAJp,125,6,3,3,25,
820209,WmmxsrKAfJ,66,5,3,7,16,
820210,XILNQKUUjA,147,13,10,10,25,4
820211,SlsFeaMFOJ,4,,1,,1,
820212,aYhqJRdGIR,104,7,5,5,,
820214,vQXSJXEjhf,24,4,1,,,
820215,PDdocKigCU,86,4,,10,25,
820216,xxDcQPFugr,63,5,2,3,2,
820217,FjTfBjmAIU,129,2,6,5,5,
820218,MZtUapXeJw,100,2,9,8,14,3
820219,hrwaSXQhcn,75,8,6,7,11,3
820220,BhsjHDNcWF,73,2,5,1,12,1
820221,ZggygVeBDh,117,10,5,11,24,1
820222,EJgbJODVbi,67,8,4,7,4,
820223,TACXVjNKoM,97,7,2,3,10,1
820224,aAbuwVJJWl,21,,,,6,1
820225,JxcoIXQjow,25,,,,,
820226,pQBOBxhLEh,64,4,1,5,7,
820227,ZSfVokAoJC,122,2,1,1,,
820230,lDoJjqchjH,72,4,4,3,9,1
820231,SxTtvluOKz,231,50,44,61,104,16
820232,YBHCCzIjFn,116,21,13,18,30,3
820233,dESrwCUWUf,70,43,28,38,46,12
820234,nXYHqESWkD,105,22,6,4,12,1
820235,siXVKvYWql,86,4,3,2,4,
820238,MCwkmGBGsC,97,5,7,4,29,1
820239,dLXlfWqwfk,44,,2,13,27,1
820240,HVtMUVecxQ,102,7,4,7,19,
820241,LTUGZYJEea,3,,,,,
820242,DFpnPyCyqZ,2,1,,1,1,1
820243,lNujsHMIYt,150,,1,,2,
820244,eckUWeKTfU,1,1,1,1,1,1
820247,TSkkahtzRk,134,17,30,15,62,
820248,Jrkjmuurht,132,35,30,27,70,9
820249,tGmfWvTdMK,89,7,2,5,32,1
820250,pATisWUtnG,79,1,,,,
820251,XXbOuNXJJP,118,,1,,4,1
820252,XpZvKBtXeZ,92,20,13,16,43,11
820253,QqpPdzVSOv,160,3,,1,,
820254,hZAksQvBYX,12,1,1,1,,
820260,ocwTwGMXAE,102,14,14,18,30,8
820261,dzPKdemtJb,23,1,,1,2,
820262,XrdQmFBsqD,29,2,2,2,8,1
820263,FHbCCzqKkD,102,6,7,7,2,
820264,rpcVgrAWWP,62,3,7,4,15,2
820265,JEWYquwuRh,66,9,4,10,9,1
830003,piIddMsAPV,132,5,3,2,8,
830004,VvIBJXdKLm,21,1,1,,,
830007,FwIQgSzYUs,94,,,,,
830008,mXwjzrmTta,30,3,,,2,
830009,vzYdMhuKro,22,,,1,5,
830010,JTzsEZBeCG,50,,,1,9,
830011,SOlYWXeLQX,154,12,9,10,18,9
830012,OjTibGpKZT,248,4,8,8,8,4
830013,cgezVzCITw,296,4,5,6,14,
830014,yKdvDVdVLp,5,1,,,,
830015,bFJtNcIGZu,52,,2,2,2,
830016,yUpJhKVtGs,4,,,,,
910002,HtvzrtZoUU,154,3,2,1,,
920001,xekonKJMzC,242,12,9,12,18,1
920002,FUprKZtpHu,68,1,2,4,6,
920003,hKTzrCiNLG,319,35,41,59,146,18
920004,EQsphERruY,152,,,,,
920005,WohxKTuMCr,157,,,,,
920006,ZuBvLNEARI,207,,,,,
920007,wLEvnhRnmJ,190,,,,,
920008,ubRoMiiGRz,198,7,5,3,17,
920009,MvnyKgsTln,50,,,3,1,
920010,AtIEhtEsEz,128,,,,,
920011,CdYgnyitkO,230,,,,,
920012,JLacTrKLMW,195,,,,,
920013,FdsVdTgsPH,90,,,,,
920014,oyzzJstjba,91,,,,,
920015,cCVkDKYISJ,183,,,,,
920016,sMtxrqEMeV,262,,,,,
920017,lcTluWVsQe,233,,,,,
920018,cYMlTFtfco,224,,,,,
920019,wzWmappxHZ,114,,,,,
920020,MwhUbOHmyx,167,11,13,7,26,1
920021,eNxWairzTm,210,,,,,
920022,hbuOwrLgnU,251,,,,,
920023,IYkqfuydAI,265,,,,,
920024,ijahzxQMuF,180,,,,,
920025,nYtJCPRbOg,96,1,2,5,29,
920026,NIZzrcgDOh,61,2,10,13,19,
920027,AnMaygtxlJ,28,,,,,
920028,dMUccAwWcc,79,11,21,15,21,5
920029,ymETlmmWGL,148,22,16,15,35,
920030,xIhSziNUjw,177,24,9,14,29,2
920031,DISdNSkNFV,94,7,6,6,14,4
920032,QisSNbdSot,64,4,3,4,6,
920033,lGdLvMVOJv,133,,,,,
920034,BSrYOCVXQq,117,,,,,
920035,hRNaBdzBNy,83,,,,,
920036,yrDwrhbrMV,152,6,5,9,39,
920037,YNpDumCQUZ,61,6,6,6,11,2
920038,kmhkDArcva,25,,,,,
920040,rtFqbhtGPP,133,2,4,5,9,
920041,yqvywEzymD,19,,,,,
920042,RKcuyDblxt,96,7,2,3,23,
920043,FURchUDcMZ,77,4,4,4,7,
920044,iEggtcvkoR,95,2,8,8,16,2
920045,olqgmXIycM,124,7,16,11,40,2
920046,eJSShpGIoZ,153,6,2,11,16,1
920047,WqmpnRiDly,182,14,5,6,4,
920048,bbcWqyHfWv,92,1,2,2,2,
920049,iiQQBfpBev,64,1,2,3,9,1
920050,dcCmHrNeyL,12,,,,,
920051,OMKbJIZsLt,103,6,4,10,9,1
920052,YrurbyjhVS,261,16,18,29,41,1
920053,ANyswVjCXu,39,2,1,2,7,2
920054,kQqMsnKHrJ,17,1,,,4,
920055,zsxZeMtEjM,6,,,,,
920056,vWOvxeFgqN,99,7,11,4,14,1
920057,FPbAsafjSG,84,11,8,4,18,
920058,kwUnktCaMG,144,7,8,3,10,
920059,RpCZdvdfby,68,3,4,2,11,
920060,PWjyvwRhcH,152,10,11,13,26,2
920061,CcLkiicCjT,152,12,8,6,9,
920063,qdhMirNhJy,243,16,14,21,38,10
920064,kMRSwrGMAZ,103,12,5,7,34,2
920065,OetqiaMAsh,140,5,10,4,9,2
920066,nJjBeDZOTh,165,25,20,17,81,11
920067,dFyWRbQCGf,34,1,5,3,4,
920068,OFtWnENTIT,48,,1,,2,
920069,gLinjNpLXQ,84,,,,,
920070,gIJnMxMhxM,100,14,14,16,63,10
920071,mjvaCdsGMk,93,2,5,4,27,
920072,pSwSZUtBYP,129,7,3,4,10,2
920073,mRLGvzEvyI,72,3,2,4,20,
920074,KEPtBXFGSF,96,4,1,2,3,
920075,YTsalZenGy,172,14,18,15,47,4
920076,SrnWiNzgnD,94,5,6,3,21,
920077,qdsZMVtZjQ,50,,1,1,2,
920078,DSZRZggMQT,98,1,6,2,18,3
920079,eVZnqYCFyK,167,18,2,2,9,1
920080,bpuIqwJqlo,172,8,3,2,16,1
920081,wAxPghibRo,41,4,3,3,12,1
920082,iwQJCmCYzb,58,2,1,1,,
920083,adXFGZcLIc,149,26,15,24,44,5
920084,uJhsdEpSIK,151,14,16,23,95,2
920085,HRIjxgNOWJ,197,33,32,44,37,2
920086,hInEtdJZJS,107,6,9,3,6,1
920087,KGOUegxpoE,88,6,9,3,9,1
920088,HsyypcjLFD,61,2,5,4,6,
920089,ebrudMrkdD,76,6,7,9,14,1
920090,kBIpFCYuGc,25,,,,4,
920091,nhotejFUep,112,25,12,13,25,7
920092,mRboEpwGMW,117,11,7,8,27,5
920093,vOwlmJgNPT,23,2,4,2,9,2
920094,ArdKyEGuKf,57,1,3,,22,
920095,bXGUhfJCDk,63,1,1,2,3,
920097,jzGeSXPNvF,76,,,2,3,
920098,dCjTdxywYX,52,2,3,2,2,
920101,KXRpsuXFtB,193,8,8,14,23,
920102,wwHDHbtJIf,40,4,3,2,5,2
920103,IUpPgKEfaK,55,1,2,5,12,1
920105,JQMMNXfQKN,99,1,1,1,1,1
920106,MMYJIOOOvY,174,9,10,9,24,1
920107,uvAcGuLbDH,112,1,3,4,6,
920108,LrjcDslPwy,95,3,8,8,19,1
920109,SdoyEFclJd,13,1,2,2,3,1
920112,OKtquKmbNb,1,,1,1,1,
920113,QINFyYKmgK,1,,,,,
920114,yliWBASgDa,1,1,1,1,1,1
920116,McTPjNyGSl,35,,2,2,13,
920117,mLBnZqOpIe,3,,,2,,
920118,HnIVwQoyRE,71,11,16,3,28,
920119,UeyMSHNZGq,182,9,6,13,25,
920120,xPIpsPrtAW,141,10,13,7,37,2
920121,oaWDJjJIpC,83,11,6,3,9,2
920122,iPxeSDAGXv,67,6,7,4,18,1
920123,nEOclmxDNn,38,3,3,2,4,2
920124,gxAZIIIwjK,60,7,1,4,15,
920126,DoZTywuNma,125,10,15,14,32,6
920130,zKUgySfXgP,92,5,1,2,3,1
920131,AhDXnWlVvH,11,,,1,,
920132,JCXczHFwHG,109,8,3,7,4,
920133,DWaiYPpWFM,28,3,,,,
920134,fAvRdAAacZ,71,3,1,,1,
920135,kzPobRjDXV,118,6,2,3,2,
920136,crShWUBaFp,210,9,1,1,3,
920137,OjtaMIWtBs,231,21,9,8,15,1
920138,DlDvYrIrjC,95,14,7,5,11,2
920139,WcWFrUxOwr,21,,1,1,1,
920143,hQaIcdaFQz,52,2,4,2,7,1
920144,GgCybXLLHz,74,7,6,7,28,8
920145,vaJGCWuhMh,22,,,,,
920146,IjySKPBKmB,36,,1,,15,1
920148,sbXVytHaFz,5,1,2,1,1,1
920149,JoDySyeeCM,169,3,3,4,1,
920150,zzpvAgkKXP,1,,,,,
920151,JaCvHUMRuc,6,1,1,,,
920152,XepSLKZRtN,16,2,1,1,2,1
920154,HfhFEoaUsk,7,,,,5,
920155,IfsNqhcroI,127,8,9,8,12,1
920157,AsmGLgczwO,66,,,2,5,
920158,DfFIXeURLc,69,,1,1,5,
920159,tVspDcJehD,2,1,,1,1,
920160,mbCCwdOsak,33,2,2,2,5,
920161,IVRfedMJUD,7,,,,,
920162,VGlJLqpveE,47,1,,,1,
920163,VkHKZdYErF,48,1,3,1,8,1
920164,FldXsPrDBg,146,10,8,6,45,1
920168,GztvLkzklC,79,1,,5,8,
920169,ChbnqvXavN,98,5,2,4,7,1
920170,AylLuFgwNP,110,8,8,7,15,4
920171,kCbnLKLVuR,22,7,1,2,9,
920172,tdUZCXPmWn,58,8,5,7,24,3
920173,HUFJTGFLCj,178,16,16,13,21,3
920174,fDMhpJSubF,6,4,1,3,3,1
920175,uWtDvTOrOR,108,6,7,5,13,4
920178,pphCXJYGRQ,100,,1,,,
920179,iWVZsDXbiF,104,,,1,1,
920181,wxxZGVoRXN,69,,2,,1,
920182,ABkpddWQUb,59,18,8,7,36,6
920183,jjcGOTULdF,35,1,3,3,5,1
920184,gGsrATUasl,86,4,1,2,7,
930001,DGrjnSKdHN,14,,,1,4,
930002,hNdZdqpkPa,52,5,1,1,13,1
930004,LgvCPjbvDb,134,,,,,
930006,oKWekrAHuq,40,,,,,
930007,jZDxCKxKlp,31,2,1,,1,
930008,VprkNUEGPQ,29,,,,1,
930009,IGBJpdaRjn,55,4,2,3,7,
1010001,FeasketMJK,130,1,2,1,4,
1020001,mVurpSxtiz,132,12,12,15,48,4
1020002,JoptCMTWEL,141,2,4,3,14,1
1020003,mzNIIYGxpJ,73,,1,1,10,
1020004,fiYdkteAFF,86,26,23,34,45,9
1020005,EoZZtufxWY,2,,,,,
1020006,imQwhGSyCb,70,3,6,3,14,3
1020007,dndKBukSmD,28,2,2,6,12,
1020008,iEtySVmHDR,24,2,,,4,
1020009,BTrWItGWZq,1,,,,,
1020010,ZkUBJePAYJ,238,5,17,13,28,2
1020011,ExEFbnWfBm,227,11,8,11,16,6
1020012,URiwVumCvW,60,1,1,1,2,
1020013,VMFuvzZsSi,110,1,3,4,7,2
1020014,PMTEGgFMYs,63,2,3,2,10,1
1020015,erduVVFYpj,171,5,18,17,30,2
1020016,drVycfNxAi,255,5,7,12,55,2
1020017,OeVFhQSgoy,165,13,16,15,44,7
1020018,BfAkaVTZOu,209,7,10,7,17,5
1020019,rAJImPUwqH,165,8,12,13,25,6
1020020,oAzOGABZeh,159,10,4,9,14,4
1020021,XjXMLqnOiE,31,7,2,1,4,1
1020025,RrwMoEuNyI,111,9,9,18,32,1
1020026,VFRlkKvisa,137,6,5,10,4,4
1020027,dSyGrRWMyd,149,13,10,19,22,2
1020028,kZgNsYqMeM,151,7,9,10,35,1
1020029,qrZpOkoaBC,74,4,3,4,11,
1020031,QqrqFejxcK,50,,,,,
1020032,KcKuHwnXNk,90,4,2,6,13,
1020033,vygybbwAbJ,48,,1,1,2,1
1020034,OkCiFCixKO,207,7,,1,5,
1020035,TRlxoFraDU,162,6,3,4,12,
1020036,IXqpxXJwjD,154,10,11,10,12,2
1020037,HokXWaiDdN,69,1,1,4,2,1
1020038,nGBOqjVMKT,107,5,3,6,11,1
1020039,ljjUjPEVtj,8,,,,,
1020040,kxwxeskUsh,67,3,,1,1,1
1020042,gzzJLMQvze,150,8,3,3,10,2
1020044,abKKKMoaLY,70,3,2,3,3,
1020045,fFROdoPsNN,146,8,13,6,61,6
1020048,KwcOvrrVGP,31,1,1,2,2,
1020056,MyjflQtYUa,128,2,,,,
1020058,hEVdfjkMSL,2,,2,1,,
1020059,kNoYlIDOLK,177,4,2,1,18,
1020060,paIRGrqkBU,194,8,4,6,41,
1020061,FrILEUlpVO,176,3,4,3,6,2
1020062,iRCxyaZSal,118,8,5,18,28,5
1020063,xbJMmquyvk,206,7,4,5,37,2
1020064,KCgunoVTxC,60,3,1,2,8,
1020065,VyvloMYUZp,95,4,2,2,5,1
1020066,fAEWzhxetx,178,5,9,8,25,2
1020067,aBhANOuINF,97,,1,2,4,
1020068,DLZrXQPFrm,19,1,2,3,3,
1020069,LjNqDIpnTh,130,2,,3,5,
1020070,bxzSsMvqZO,89,2,2,1,4,
1020071,crPRlIPfhn,202,8,9,11,22,
1020072,hTCiWeqzNH,123,2,1,4,2,
1020073,PztrdMgvKd,220,4,3,2,32,
1020074,IQKeguZETj,46,2,2,2,2,
1020075,jhvoJZqVFJ,96,7,7,5,16,3
1020076,GsnmtOEOVf,141,3,2,2,4,1
1020077,JqlnYHAMAd,133,3,5,7,8,
1020078,DIzQQYPoCB,130,7,6,8,30,5
1020079,nOwbCuuNdP,189,14,11,18,20,1
1020080,FRgRWhxUQF,90,4,1,1,2,
1020082,KYyadojsbv,32,3,3,2,13,
1020083,CYMeYMHCMU,10,3,1,4,5,
1020084,hUpieXgXuD,30,1,2,1,3,
1020085,mqMovmstes,102,9,12,11,38,8
1020086,AFBUPuTQhZ,101,7,5,2,7,
1020087,UFaCsTZnNU,95,10,3,6,16,4
1020088,TAhXYKDmPN,103,7,4,7,35,5
1020090,GxrCVgHJiE,34,6,7,7,9,4
1020091,UkvWBuuFuC,49,,,,5,
1020092,pjRcAzxUsq,92,3,5,6,18,1
1020093,ePUKtUNjbn,63,2,,3,5,
1020094,njukEPsBNl,67,7,2,8,14,
1020095,fUOZXpoZdB,108,2,3,3,2,1
1020096,nDSoogxnqN,43,3,2,10,19,3
1020097,nkCDcXrmvP,59,4,4,3,19,
1020098,ZOooaYwgfE,9,,,,3,
1020099,AkFgwrOCKk,23,1,,,4,
1020100,VVnDNSjnDr,45,1,,1,1,
1020101,MDuaHEmLYd,71,3,,1,5,
1020102,hIvOyqjcQE,32,,1,1,4,
1020103,NCdSYTZGWZ,8,,,,,
1020104,aRJADmMbNC,123,11,4,9,13,2
1020105,tELJBvfqrh,6,1,,,,
1020106,ZZbMjnUSjH,99,4,1,3,1,
1020107,fvUOrjSIfB,28,,,,,
1020108,HAenjILjVm,114,,,,,
1020109,okCHcrWEfK,58,,,,,
1020110,kKREvNVrTe,195,,,,,
1020111,lVPbIdsFqA,100,,,,,
1020112,UKbvuTYLlh,41,,,,,
1020113,EycpLECzbd,98,,,,,
1020114,eRvXXGvTYL,60,,,,,
1020115,wNOWtigVkI,163,,,,,
1020116,iQuCTuLLWE,134,,,,,
1020117,cNQFHEOPMZ,156,,,,,
1020118,MuVcdHnMrX,94,,,,,
1020120,brlIxLbTia,159,,,,,
1020122,nVsCRoGWJm,118,,,,,
1020123,mnnFxqUmMf,151,,,,,
1020124,CpCUGpqGby,176,,,,,
1020125,IAdStacYeY,8,,,,,
1020126,LFAitMMTzt,67,,,,,
1020127,LLgvUDAbLi,121,,,,,
1020128,DTfHPJZEpD,72,,,,,
1020129,QgmUGyleNE,176,,,,,
1020131,smyQoUvWSe,46,9,,7,6,
1020132,revrZAMqXN,75,1,,,3,
1020133,LHTpMXbKsA,114,1,9,6,18,
1020134,VVWMrpILFO,72,22,7,5,27,1
1020135,TdseVyhjSv,181,11,8,14,43,8
1020136,TvrJaohfXU,132,6,7,2,19,
1020137,AeTlcRRXNj,73,8,4,4,27,2
1020138,wYyLTgHnDw,155,6,4,4,20,2
1020140,overUqvlSx,118,6,8,7,56,3
1020141,cUOIQGXJtY,227,17,12,9,25,7
1020142,qrBrfvpvEa,101,5,4,1,21,1
1020143,JuZFytoEsp,137,16,10,7,44,5
1020144,pwBEVgTxvW,76,3,2,4,17,1
1020145,kBcWKOMjlS,69,7,5,1,11,
1020146,hPUEOvUZjz,110,27,12,10,28,3
1020147,rtLibuzPfy,86,7,6,3,10,2
1020148,RucPIrLpqr,209,25,12,10,29,9
1020149,JoWRbTiFsa,84,6,3,8,30,2
1020150,oAPKXDPGPf,90,4,3,5,10,
1020151,niAqLaGNpc,124,14,10,16,61,4
1020153,pjqleamHHz,107,5,10,12,31,7
1020161,OrJhIGBRBu,33,1,,2,4,1
1020162,lxjZhBtRWW,86,,,,,
1020163,oyBPbMpVae,116,6,7,8,23,2
1020164,nzyqIApIHL,120,9,11,4,34,1
1020165,wGCMstCMQm,169,16,10,14,21,5
1020166,qRkBIPNyEB,8,1,,1,,
1020167,LdfpKIsTZO,100,4,1,5,11,
1020168,OVccyyWOGo,87,2,3,3,,
1020169,jNJYHrmgpy,111,4,5,2,9,
1020170,BXyFrTPGMT,108,2,3,4,25,
1020171,kUXIPDLoTO,60,9,6,9,10,3
1020172,JeInwdEXiF,24,3,2,1,14,
1020173,MecxVrrXqh,27,4,2,1,11,
1020174,XIewIZiWTC,201,,,,,
1020175,sHILRNJhAx,22,,,1,3,
1020176,AMhtoRXgTg,80,2,1,,4,1
1020177,mMHqhTPqxP,166,8,5,4,38,2
1020178,jIeuaNFeFa,70,7,7,9,21,1
1020179,HpLimYyfWz,7,,1,1,2,
1020180,mcYOIPzYfC,162,7,6,3,19,2
1020182,AAqIZVhTfd,27,2,,2,1,
1020183,PrfqsXBGtx,49,1,,3,3,
1020184,HgmPTPPKjU,14,1,,2,2,1
1020185,AsYkFyiJCi,154,7,7,3,13,
1020186,gyzySJPHoi,20,1,,,4,
1020187,FBbMhgjaUq,28,1,,,,
1020188,KthRuCjwju,81,,,,3,
1020189,QSznceeFLt,5,1,1,2,2,1
1020190,OfHROlVIVe,1,,,,,
1020192,fReCdhTZNL,3,,,,1,
1020193,TnjzpoPXsn,89,3,,2,2,1
1020195,dqtRuEHUjV,124,,2,1,4,
1020196,uPElxJhLyq,5,,,,,
1020197,tcAKqmMQXD,106,,,,,
1020198,UichufBudL,65,,3,3,,
1020199,wGnIUChZAy,102,1,1,1,4,
1020200,yeyLsvmGtq,101,4,4,4,5,2
1020201,hEOETZrnCn,103,10,12,2,20,1
1030001,fkZmFMZvAT,84,,,,,
1030002,fYAzAtHjgx,186,,,,,
1030004,KwpjESwpIW,4,,,,,
1030006,ZOizAzwKOs,76,,,,,
1030007,rDAnmIwBll,30,8,4,2,13,7
1110001,DSdPbqSWQM,160,,2,,13,2
1120001,TducnyNORV,326,5,7,8,41,1
1120002,nWfwjcQwMg,174,,1,,2,1
1120003,RUvORyvODx,197,24,11,13,20,2
1120004,FBzlPYBttM,194,6,6,3,11,4
1120005,dTZxPgQLcz,234,2,1,4,8,
1120006,ovkwOqZUKy,54,30,13,17,22,7
1120007,KaXPVAcHGB,143,3,5,9,5,
1120008,nMLCSYoieO,145,8,4,2,9,1
1120009,nInxUEGrfC,262,14,2,5,14,1
1120010,LaNahhreXO,132,6,9,3,27,1
1120011,EJGXYSBuTG,99,15,5,,22,1
1120012,faKSbJyhpI,78,4,3,4,38,1
1120013,FygZeiIsvA,179,25,16,18,46,3
1120014,SANnmYUEHI,211,17,17,10,25,1
1120015,odOlylJoSk,178,16,1,5,3,
1120016,DqfXWioaZl,62,20,7,10,43,6
1120017,VCPPxAIYuk,170,18,10,9,24,
1120018,NrvKDegmBs,313,9,2,4,11,1
1120019,dgaiJhfIVx,67,5,3,4,22,1
1120020,LEpCSKxDuj,308,25,22,16,32,8
1120021,tBOvfJEzzT,110,,,,,
1120022,ejvRemXQrS,78,2,,1,1,
1120023,kaMriBKTWT,147,10,3,4,2,
1120024,CIFcQNjzHO,106,12,4,5,11,3
1120025,JmQuCQyBSK,145,4,1,2,2,1
1120026,lutzCtxyXK,146,1,2,3,5,
1120027,lIuRBnCvDg,92,1,,,1,
1120028,EJajZCMxui,93,6,4,2,12,1
1120029,FGfBilJNHy,95,4,3,3,,
1120030,dHyAnVRsWf,273,5,5,5,21,1
1120031,SLJKtcbWVb,199,8,2,2,3,
1120032,LzXUrcCeQk,165,12,5,6,5,
1120033,qyAZgIOfhD,208,10,3,6,13,
1120034,XplWMliDPG,187,4,1,1,1,
1120035,fXkAXFdSBI,103,11,7,9,16,3
1120036,GfIuMpgCef,185,7,7,7,8,1
1120037,yPkfAvIgek,269,17,10,11,8,2
1120038,GjSPGMGSmO,148,25,12,14,13,1
1120039,XoTGvgitHB,296,6,8,8,64,1
1120040,iybYbLomjl,122,1,3,1,,
1120041,gCDGKIgGOM,171,8,1,5,11,3
1120042,WDMnSKEQWC,320,30,26,24,47,9
1120043,gCahoeiRUa,209,11,1,5,12,
1120044,WUuDDbdqjR,300,11,8,11,24,
1120045,NKMWzTUOeq,127,5,3,4,6,
1120046,PRzzlVaxXY,105,,,,,
1120047,FpyqXlXZqL,215,19,6,9,22,
1120048,QXdSizLQRW,148,26,10,8,12,
1120049,suwRlJDOdy,184,11,6,1,16,
1120050,eGlvynxwWq,78,8,2,2,9,1
1120051,yloWDUvdez,92,7,1,2,12,
1120052,QLyQrzZnyc,236,9,5,6,8,
1120053,jWJPqKSmVl,251,3,3,4,7,
1120054,toSOguZjBn,161,,,,,
1120055,kDthHJdMak,270,25,19,16,36,9
1120056,UQbhrBjgSh,141,5,3,5,4,1
1120058,LBLbMOUNub,33,,,,,
1120059,QSpKZYBdCh,32,,,,,
1120060,dfMjUhychp,132,9,2,5,18,1
1120061,BHULVOcknq,139,3,6,15,30,2
1120062,VcHwFkFRfF,85,7,5,8,9,
1120063,OmulvjRxPO,207,8,6,5,12,
1120064,nFtftPumJt,212,4,8,9,33,1
1120065,rzHCrpGTjK,180,12,11,11,14,6
1120066,TWnfQoLoSv,126,18,8,9,43,4
1120067,kurwncIJJz,279,10,5,5,74,12
1120068,yXGcmQyBci,91,2,4,2,8,
1120069,lNlMQWLtmN,125,4,2,1,27,1
1120070,oUVAlEGrJN,154,9,14,17,71,2
1120071,fsBNqAwATq,169,27,17,22,78,7
1120072,mYTEXaXdir,84,18,13,21,24,4
1120073,cDpoPkDgSd,276,15,3,7,8,1
1120074,MtTrGLjKDW,195,1,6,7,36,
1120075,ESTjhPzuHT,119,7,1,6,9,1
1120076,jcAnkhbKIf,161,,,,,
1120077,XBKGcTIKsx,147,9,5,9,32,4
1120078,NNIPrJAkDr,241,8,9,13,38,2
1120079,HBFAePloJs,116,8,8,9,45,
1120080,OOCzgPTEMJ,209,11,11,8,62,1
1120081,CrldbwwoYg,156,5,7,7,8,1
1120082,LepMJquUon,166,3,4,1,33,1
